date,time,matchday,home_team,away_team,city,stadium,status,result
2026-08-07,18:00,1,Cambuur,Excelsior,Leeuwarden,Kooi Stadion,Played,0-4
2026-08-08,14:30,1,NEC Nijmegen,Telstar,Nijmegen,Goffertstadion,Played,1-2
2026-08-08,16:45,1,GO Ahead Eagles,Willem II,Deventer,De Adelaarshorst,Played,4-1
2026-08-08,18:00,1,PSV Eindhoven,Fortuna Sittard,Eindhoven,Philips Stadion,Played,2-2
2026-08-08,19:00,1,AZ Alkmaar,ADO Den Haag,Alkmaar,AFAS Stadion,Played,2-0
2026-08-09,10:15,1,Sparta Rotterdam,Feyenoord,Rotterdam,Sparta Stadion Het Kasteel,Played,0-1
2026-08-09,12:30,1,PEC Zwolle,Ajax,Zwolle,Mac3Park Stadion,Played,0-2
2026-08-09,12:30,1,Groningen,Utrecht,Groningen,Euroborg,Played,2-1
2026-08-09,14:45,1,Heerenveen,Twente,Heerenveen,Abe Lenstra Stadion,Played,1-0
2026-08-14,18:00,2,Telstar,Sparta Rotterdam,Velsen,BUKO Stadion,Played,1-3
2026-08-15,14:30,2,Willem II,NEC Nijmegen,Tilburg,Koning Willem II Stadion,Played,1-4
2026-08-15,16:45,2,Utrecht,AZ Alkmaar,Utrecht,Stadion Galgenwaard,Played,1-4
2026-08-15,18:00,2,Excelsior,PSV Eindhoven,Rotterdam,Stadion Woudestein,Played,1-2
2026-08-15,19:00,2,Fortuna Sittard,Cambuur,Sittard,Fortuna Sittard Stadion,Played,3-1
2026-08-16,10:15,2,ADO Den Haag,Groningen,Den Haag,Bingoal Stadium,Played,1-4
2026-08-16,12:30,2,Feyenoord,GO Ahead Eagles,Rotterdam,De Kuip,Played,2-2
2026-08-16,12:30,2,Twente,PEC Zwolle,Enschede,De Grolsch Veste,Played,3-1
2026-08-16,14:45,2,Ajax,Heerenveen,Amsterdam,Johan Cruijff Arena,Played,2-2
2026-08-22,14:30,3,Fortuna Sittard,AZ Alkmaar,Sittard,Fortuna Sittard Stadion,Played,0-2
2026-08-22,16:45,3,Sparta Rotterdam,Utrecht,Rotterdam,Sparta Stadion Het Kasteel,Played,3-3
2026-08-22,19:00,3,Heerenveen,PEC Zwolle,Heerenveen,Abe Lenstra Stadion,Played,0-2
2026-08-23,10:15,3,GO Ahead Eagles,ADO Den Haag,Deventer,De Adelaarshorst,Played,3-1
2026-08-23,12:30,3,PSV Eindhoven,Groningen,Eindhoven,Philips Stadion,Played,5-1
2026-08-23,14:45,3,Cambuur,Feyenoord,Leeuwarden,Kooi Stadion,Played,2-5
2026-08-28,18:00,4,Groningen,Fortuna Sittard,Groningen,Euroborg,Played,2-3
2026-08-29,14:30,4,Excelsior,Sparta Rotterdam,Rotterdam,Van Donge & De Roo Stadion,Played,2-1
2026-08-29,16:45,4,AZ Alkmaar,GO Ahead Eagles,Alkmaar,AFAS Stadion（Alkmaar）,Played,5-2
2026-08-29,19:00,4,PEC Zwolle,NEC Nijmegen,Zwolle,MAC³PARK Stadion,Played,1-3
2026-08-30,10:15,4,Utrecht,PSV Eindhoven,Utrecht,Stadion Galgenwaard,Played,1-6
2026-08-30,12:30,4,Willem II,Heerenveen,Tilburg,Koning Willem II Stadion,Played,2-2
2026-08-30,12:30,4,Feyenoord,ADO Den Haag,Rotterdam,Stadion Feijenoord,Played,2-2
2026-08-30,14:45,4,Telstar,Ajax,Felsen,Sportpark Schoonenberg,Played,0-4
2026-08-30,18:00,4,Cambuur,Twente,Leeuwarden,Kooi Stadion,Played,1-4
2026-09-04,18:00,5,Sparta Rotterdam,PEC Zwolle,Rotterdam,Sparta Stadium Het Kasteel,Played,2-2
2026-09-05,14:30,5,NEC Nijmegen,Feyenoord,Nijmegen,Stadion de Goffert,Played,1-3
2026-09-05,18:00,5,Ajax,PSV Eindhoven,Amsterdam,Johan Cruijff Arena,Played,1-3
2026-09-05,19:00,5,Willem II,Excelsior,Tilburg,Koning Willem II Stadion,Played,0-3
2026-09-06,10:15,5,Groningen,Twente,Groningen,Hitachi Capital Mobility Stadion,Played,2-2
2026-09-06,12:30,5,Heerenveen,AZ Alkmaar,Heerenveen,Abe Lenstra Stadion,Played,2-3
2026-09-06,12:30,5,Telstar,Cambuur,Velsen,BUKO Stadion,Played,2-2
2026-09-06,14:45,5,ADO Den Haag,Fortuna Sittard,Den Haag,Bingoal Stadium,Played,2-3
2026-09-08,12:00,5,Utrecht,GO Ahead Eagles,Utrecht,Stadion Galgenwaard,Played,3-3
2026-09-08,16:45,3,NEC Nijmegen,Excelsior,Nijmegen,Stadion de Goffert,Played,2-2
2026-09-09,16:45,3,Twente,Telstar,Enschede,De Grolsch Veste,To be played,
2026-09-11,18:00,6,AZ Alkmaar,Willem II,Alkmaar,AFAS Stadion（Alkmaar）,To be played,
