date,time,matchday,home_team,away_team,city,stadium,status,result
2026-08-21,18:45,1,Marseille,Strasbourg,Marseille,CEPAC Vélodrome,Played,4-0
2026-08-22,15:15,1,Lens,Auxerre,Lens,Stade Bollaert-Delelis,Played,5-2
2026-08-22,18:45,1,Nice,Lorient,Nice,Allianz Riviera,Played,0-0
2026-08-22,18:45,1,Toulouse,Lyon,Toulouse,Stadium de Toulouse,Played,0-2
2026-08-22,18:45,1,Estac Troyes,Paris FC,Troyes,Stade de l'Aube,Played,0-0
2026-08-22,18:45,1,Le Mans,Stade Brestois 29,Le Mans,Stade Marie-Marvingt,Played,2-2
2026-08-23,13:00,1,Angers,Lille,Angers,Stade Raymond-Kopa,Played,0-2
2026-08-23,15:15,1,Le Havre,Monaco,Le Havre,Stade Oceane,Played,0-1
2026-08-23,18:45,1,Rennes,Paris Saint Germain,Rennes,Roazhon Park,Played,2-2
2026-08-28,18:45,2,Lille,Paris Saint Germain,Lille,Stade Pierre-Mauroy,Played,2-2
2026-08-29,15:15,2,Strasbourg,Lens,Strasbourg,Stade de la Meinau,Played,2-1
2026-08-29,18:45,2,Lyon,Le Havre,Lyon,Parc Olympique Lyonnais,Played,1-1
2026-08-29,18:45,2,Lorient,Estac Troyes,Lorient,Stade du Moustoir,Played,1-2
2026-08-29,18:45,2,Stade Brestois 29,Toulouse,Brest,Stade Francis-Le Ble,Played,2-2
2026-08-29,18:45,2,Auxerre,Angers,Auxerre,Stade de l'Abbé-Deschamps,Played,1-3
2026-08-30,13:00,2,Paris FC,Nice,Paris,Stade Jean Bouin,Played,3-0
2026-08-30,15:15,2,Rennes,Le Mans,Rennes,Roazhon Park,Played,3-2
2026-08-30,18:45,2,Monaco,Marseille,Monaco,Stade Louis II,Played,2-0
2026-09-03,18:45,3,Toulouse,Lille,Toulouse,Stadium de Toulouse,Played,0-1
2026-09-04,17:00,3,Lyon,Auxerre,Lyon,Groupama Stadium,Played,3-1
2026-09-04,19:05,3,Paris Saint Germain,Monaco,Paris,Parc des Princes,Played,1-2
2026-09-05,15:15,3,Lens,Lorient,Lens,Stade Bollaert-Delelis,Played,0-1
2026-09-05,18:45,3,Nice,Le Mans,Nice,Allianz Riviera,Played,1-1
2026-09-05,18:45,3,Le Havre,Stade Brestois 29,Le Havre,Stade Oceane,Played,1-2
2026-09-06,13:00,3,Estac Troyes,Strasbourg,Troyes,Stade de l'Aube,Played,2-6
2026-09-06,15:15,3,Angers,Rennes,Angers,Stade Raymond-Kopa,Played,1-2
2026-09-06,18:45,3,Marseille,Paris FC,Marseille,CEPAC Vélodrome,Played,2-3
2026-09-11,18:45,4,Rennes,Marseille,Rennes,Roazhon Park,To be played,
2026-09-12,15:15,4,Strasbourg,Monaco,Strasbourg,Stade de la Meinau,To be played,
2026-09-12,18:45,4,Lorient,Toulouse,Lorient,Stade du Moustoir,To be played,
2026-09-12,18:45,4,Auxerre,Nice,Auxerre,,To be played,
2026-09-12,18:45,4,Le Havre,Angers,Le Havre,,To be played,
2026-09-12,18:45,4,Paris FC,Lyon,Paris,Stade Jean Bouin,To be played,
2026-09-13,13:00,4,Lille,Estac Troyes,Villeneuve d'Ascq,Stade Pierre-Mauroy,To be played,
2026-09-13,15:15,4,Le Mans,Lens,Le Mans,Stade Marie-Marvingt,To be played,
2026-09-13,18:45,4,Stade Brestois 29,Paris Saint Germain,Brest,,To be played,
2026-09-18,18:45,5,Monaco,Lens,Monaco,Stade Louis II,To be played,
2026-09-19,15:15,5,Paris FC,Strasbourg,Paris,Stade Jean Bouin,To be played,
2026-09-19,18:45,5,Angers,Estac Troyes,Angers,Stade Raymond-Kopa,To be played,
2026-09-19,18:45,5,Lyon,Rennes,Lyon,Parc Olympique Lyonnais,To be played,
2026-09-19,18:45,5,Toulouse,Le Havre,Toulouse,Stadium de Toulouse,To be played,
2026-09-19,18:45,5,Le Mans,Lorient,Le Mans,Stade Marie-Marvingt,To be played,
2026-09-20,13:00,5,Auxerre,Stade Brestois 29,Auxerre,,To be played,
2026-09-20,15:15,5,Nice,Lille,Nice,Allianz Riviera,To be played,
2026-09-20,18:45,5,Marseille,Paris Saint Germain,Marseille,,To be played,
2026-10-09,18:45,6,Lens,Lyon,Lens,Stade Bollaert-Delelis,To be played,
2026-10-10,15:00,6,Lille,Le Havre,Villeneuve d'Ascq,Stade Pierre-Mauroy,To be played,
2026-10-10,15:00,6,Nice,Strasbourg,Nice,Allianz Riviera,To be played,
2026-10-10,15:00,6,Paris Saint Germain,Le Mans,Paris,Parc des Princes,To be played,
2026-10-10,15:00,6,Monaco,Toulouse,Monaco,Stade Louis II,To be played,
2026-10-10,15:00,6,Rennes,Auxerre,Rennes,Roazhon Park,To be played,
2026-10-10,15:00,6,Lorient,Paris FC,Lorient,Stade du Moustoir,To be played,
2026-10-10,15:00,6,Stade Brestois 29,Angers,Brest,,To be played,
2026-10-10,15:00,6,Estac Troyes,Marseille,Troyes,,To be played,
2026-10-17,15:00,7,Angers,Marseille,Angers,Stade Raymond-Kopa,To be played,
2026-10-17,15:00,7,Lille,Stade Brestois 29,Villeneuve d'Ascq,Stade Pierre-Mauroy,To be played,
2026-10-17,15:00,7,Lyon,Nice,Lyon,Parc Olympique Lyonnais,To be played,
2026-10-17,15:00,7,Strasbourg,Paris Saint Germain,Strasbourg,Stade de la Meinau,To be played,
2026-10-17,15:00,7,Lorient,Monaco,Lorient,Stade du Moustoir,To be played,
2026-10-17,15:00,7,Estac Troyes,Lens,Troyes,,To be played,
2026-10-17,15:00,7,Le Havre,Auxerre,Le Havre,,To be played,
2026-10-17,15:00,7,Paris FC,Rennes,Paris,Stade Jean Bouin,To be played,
2026-10-17,15:00,7,Le Mans,Toulouse,Le Mans,Stade Marie-Marvingt,To be played,
2026-10-24,15:00,8,Angers,Lorient,Angers,Stade Raymond-Kopa,To be played,
2026-10-24,15:00,8,Marseille,Le Havre,Marseille,,To be played,
2026-10-24,15:00,8,Monaco,Lille,Monaco,Stade Louis II,To be played,
2026-10-24,15:00,8,Rennes,Strasbourg,Rennes,Roazhon Park,To be played,
2026-10-24,15:00,8,Toulouse,Estac Troyes,Toulouse,Stadium de Toulouse,To be played,
2026-10-24,15:00,8,Stade Brestois 29,Nice,Brest,,To be played,
2026-10-24,15:00,8,Auxerre,Le Mans,Auxerre,,To be played,
2026-10-24,15:00,8,Lens,Paris FC,Lens,Stade Bollaert-Delelis,To be played,
2026-10-25,19:45,8,Paris Saint Germain,Lyon,Paris,Parc des Princes,To be played,
2026-10-31,16:00,9,Lille,Lens,Villeneuve d'Ascq,Stade Pierre-Mauroy,To be played,
2026-10-31,16:00,9,Lyon,Angers,Lyon,Parc Olympique Lyonnais,To be played,
2026-10-31,16:00,9,Marseille,Toulouse,Marseille,,To be played,
2026-10-31,16:00,9,Nice,Rennes,Nice,Allianz Riviera,To be played,
2026-10-31,16:00,9,Strasbourg,Auxerre,Strasbourg,Stade de la Meinau,To be played,
2026-10-31,16:00,9,Lorient,Stade Brestois 29,Lorient,Stade du Moustoir,To be played,
2026-10-31,16:00,9,Estac Troyes,Le Mans,Troyes,,To be played,
2026-10-31,16:00,9,Le Havre,Paris Saint Germain,Le Havre,,To be played,
2026-10-31,16:00,9,Paris FC,Monaco,Paris,Stade Jean Bouin,To be played,
2026-11-07,16:00,10,Angers,Nice,Angers,Stade Raymond-Kopa,To be played,
2026-11-07,16:00,10,Paris Saint Germain,Estac Troyes,Paris,Parc des Princes,To be played,
2026-11-07,16:00,10,Rennes,Lille,Rennes,Roazhon Park,To be played,
2026-11-07,16:00,10,Toulouse,Strasbourg,Toulouse,Stadium de Toulouse,To be played,
2026-11-07,16:00,10,Stade Brestois 29,Lyon,Brest,,To be played,
2026-11-07,16:00,10,Auxerre,Paris FC,Auxerre,,To be played,
2026-11-07,16:00,10,Le Havre,Lorient,Le Havre,,To be played,
2026-11-07,16:00,10,Le Mans,Monaco,Le Mans,Stade Marie-Marvingt,To be played,
2026-11-07,19:45,10,Lens,Marseille,Lens,Stade Bollaert-Delelis,To be played,
2026-11-21,16:00,11,Lille,Lyon,Villeneuve d'Ascq,Stade Pierre-Mauroy,To be played,
2026-11-21,16:00,11,Marseille,Le Mans,Marseille,,To be played,
2026-11-21,16:00,11,Nice,Paris Saint Germain,Nice,Allianz Riviera,To be played,
2026-11-21,16:00,11,Monaco,Auxerre,Monaco,Stade Louis II,To be played,
2026-11-21,16:00,11,Strasbourg,Stade Brestois 29,Strasbourg,Stade de la Meinau,To be played,
2026-11-21,16:00,11,Lorient,Rennes,Lorient,Stade du Moustoir,To be played,
2026-11-21,16:00,11,Estac Troyes,Le Havre,Troyes,,To be played,
2026-11-21,16:00,11,Paris FC,Angers,Paris,Stade Jean Bouin,To be played,
2026-11-21,16:00,11,Lens,Toulouse,Lens,Stade Bollaert-Delelis,To be played,
2026-11-28,16:00,12,Angers,Lens,Angers,Stade Raymond-Kopa,To be played,
2026-11-28,16:00,12,Lyon,Monaco,Lyon,Parc Olympique Lyonnais,To be played,
2026-11-28,16:00,12,Nice,Estac Troyes,Nice,Allianz Riviera,To be played,
2026-11-28,16:00,12,Paris Saint Germain,Lorient,Paris,Parc des Princes,To be played,
2026-11-28,16:00,12,Toulouse,Rennes,Toulouse,Stadium de Toulouse,To be played,
2026-11-28,16:00,12,Stade Brestois 29,Paris FC,Brest,,To be played,
2026-11-28,16:00,12,Auxerre,Marseille,Auxerre,,To be played,
2026-11-28,16:00,12,Le Havre,Strasbourg,Le Havre,,To be played,
2026-11-28,16:00,12,Le Mans,Lille,Le Mans,Stade Marie-Marvingt,To be played,
2026-12-05,16:00,13,Lille,Auxerre,Villeneuve d'Ascq,Stade Pierre-Mauroy,To be played,
2026-12-05,16:00,13,Marseille,Nice,Marseille,,To be played,
2026-12-05,16:00,13,Monaco,Angers,Monaco,Stade Louis II,To be played,
2026-12-05,16:00,13,Rennes,Stade Brestois 29,Rennes,Roazhon Park,To be played,
2026-12-05,16:00,13,Strasbourg,Lorient,Strasbourg,Stade de la Meinau,To be played,
2026-12-05,16:00,13,Toulouse,Paris Saint Germain,Toulouse,Stadium de Toulouse,To be played,
2026-12-05,16:00,13,Estac Troyes,Lyon,Troyes,,To be played,
2026-12-05,16:00,13,Paris FC,Le Mans,Paris,Stade Jean Bouin,To be played,
2026-12-05,16:00,13,Lens,Le Havre,Lens,Stade Bollaert-Delelis,To be played,
2026-12-12,16:00,14,Angers,Strasbourg,Angers,Stade Raymond-Kopa,To be played,
2026-12-12,16:00,14,Nice,Lens,Nice,Allianz Riviera,To be played,
2026-12-12,16:00,14,Paris Saint Germain,Paris FC,Paris,Parc des Princes,To be played,
2026-12-12,16:00,14,Rennes,Monaco,Rennes,Roazhon Park,To be played,
2026-12-12,16:00,14,Lorient,Lille,Lorient,Stade du Moustoir,To be played,
2026-12-12,16:00,14,Stade Brestois 29,Estac Troyes,Brest,,To be played,
2026-12-12,16:00,14,Auxerre,Toulouse,Auxerre,,To be played,
2026-12-12,16:00,14,Le Havre,Le Mans,Le Havre,,To be played,
2026-12-13,19:45,14,Lyon,Marseille,Lyon,Parc Olympique Lyonnais,To be played,
2027-01-02,16:00,15,Lille,Strasbourg,Villeneuve d'Ascq,Stade Pierre-Mauroy,To be played,
2027-01-02,16:00,15,Monaco,Nice,Monaco,Stade Louis II,To be played,
2027-01-02,16:00,15,Toulouse,Angers,Toulouse,Stadium de Toulouse,To be played,
2027-01-02,16:00,15,Lorient,Auxerre,Lorient,Stade du Moustoir,To be played,
2027-01-02,16:00,15,Stade Brestois 29,Marseille,Brest,,To be played,
2027-01-02,16:00,15,Estac Troyes,Rennes,Troyes,,To be played,
2027-01-02,16:00,15,Paris FC,Le Havre,Paris,Stade Jean Bouin,To be played,
2027-01-02,16:00,15,Le Mans,Lyon,Le Mans,Stade Marie-Marvingt,To be played,
2027-01-03,19:45,15,Lens,Paris Saint Germain,Lens,Stade Bollaert-Delelis,To be played,
2027-01-16,16:00,16,Angers,Paris Saint Germain,Angers,Stade Raymond-Kopa,To be played,
2027-01-16,16:00,16,Lyon,Lorient,Lyon,Parc Olympique Lyonnais,To be played,
2027-01-16,16:00,16,Marseille,Lille,Marseille,,To be played,
2027-01-16,16:00,16,Nice,Le Havre,Nice,Allianz Riviera,To be played,
2027-01-16,16:00,16,Monaco,Stade Brestois 29,Monaco,Stade Louis II,To be played,
