date,time,matchday,home_team,away_team,city,stadium,status,result
2026-08-22,16:30,1,Udinese,Como,Udine,Bluenergy Stadium - Stadio Friuli,Played,1-1
2026-08-22,16:30,1,Inter,Monza,Milan,San Siro/Giuseppe Meazza,Played,4-1
2026-08-22,18:45,1,Genoa,Napoli,Genova,Luigi Ferraris,Played,0-2
2026-08-22,18:45,1,Parma,Cagliari,Parma,Stadio Ennio Tardini,Played,0-1
2026-08-23,16:30,1,Frosinone,Juventus,Frosinone,Stadio Benito Stirpe,Played,0-1
2026-08-23,16:30,1,Venezia,Lecce,Venice,Stadio Pierluigi Penzo,Played,0-2
2026-08-23,18:45,1,Atalanta,Sassuolo,Bergamo,New Balance Arena,Played,2-1
2026-08-23,18:45,1,Torino,AC Milan,Turin,Stadio Olimpico Grande Torino,Played,1-2
2026-08-24,16:30,1,Bologna,Lazio,Bologna,Renato Dall'Ara,Played,0-1
2026-08-24,18:45,1,AS Roma,Fiorentina,Rome,Stadio Olimpico,Played,4-0
2026-08-28,18:45,2,AC Milan,Venezia,Milan,San Siro/Giuseppe Meazza,Played,2-0
2026-08-29,16:30,2,Sassuolo,Torino,Reggio Emilia,Mapei Stadium,Played,2-1
2026-08-29,16:30,2,Fiorentina,Frosinone,Florence,Stadio Artemio Franchi,Played,0-3
2026-08-29,16:30,2,Monza,Udinese,Monza,U-Power Stadium,Played,2-3
2026-08-29,18:45,2,Juventus,Parma,Turin,Allianz Stadium,Played,2-0
2026-08-30,16:30,2,Napoli,Como,Naples,Stadio Diego Armando Maradona,Played,1-2
2026-08-30,18:45,2,Lazio,Genoa,Rome,Stadio Olimpico,Played,1-0
2026-08-30,18:45,2,Cagliari,Inter,Cagliari,Unipol Domus,Played,0-1
2026-08-31,16:30,2,Lecce,AS Roma,Lecce,Stadio Via del Mare,Played,0-4
2026-08-31,18:45,2,Atalanta,Bologna,Bergamo,New Balance Arena,Played,1-0
2026-09-04,18:45,3,Genoa,Como,Genova,Luigi Ferraris,Played,1-4
2026-09-05,13:00,3,Fiorentina,Torino,Florence,Stadio Artemio Franchi,Played,1-2
2026-09-05,16:00,3,Inter,Napoli,Milano,San Siro/Giuseppe Meazza,Played,3-2
2026-09-05,18:45,3,AS Roma,Atalanta,Rome,Stadio Olimpico,Played,2-1
2026-09-06,13:00,3,Frosinone,Venezia,Frosinone,Stadio Benito Stirpe,Played,3-2
2026-09-06,13:00,3,Parma,Monza,Parma,Stadio Ennio Tardini,Played,1-1
2026-09-06,16:00,3,Bologna,Sassuolo,Bologna,Renato Dall'Ara,Played,2-2
2026-09-06,18:45,3,Juventus,AC Milan,Turin,Allianz Stadium,Played,1-1
2026-09-07,16:30,3,Cagliari,Lecce,Cagliari,Unipol Domus,Played,1-0
2026-09-07,18:45,3,Udinese,Lazio,Udine,Bluenergy Stadium - Stadio Friuli,Played,1-2
2026-09-11,18:45,4,Venezia,Fiorentina,Venice,Stadio Pierluigi Penzo,To be played,
2026-09-12,13:00,4,Genoa,Frosinone,Genoa,Stadio Luigi Ferraris,To be played,
